route,direction,departure_time,stop_id,weekday,saturday,sunday
104,O,19:55:00,1730,0,1,0
104,I,11:10:00,7571,0,1,0
104,I,13:10:00,7571,0,1,0
104,I,20:45:00,7571,0,1,0
104,I,09:00:00,7571,0,1,0
104,I,17:10:00,7571,0,1,0
104,I,15:10:00,7571,0,1,0
104,I,19:10:00,7571,0,1,0
11,O,07:30:00,6122,0,1,0
11,O,07:00:00,6122,0,1,0
11,O,20:30:00,6122,0,1,0
11,O,20:00:00,6122,0,1,0
11,O,19:30:00,6122,0,1,0
11,O,19:00:00,6122,0,1,0
11,O,15:00:00,6122,0,1,0
11,O,18:00:00,6122,0,1,0
11,O,17:30:00,6122,0,1,0
11,O,16:30:00,6122,0,1,0
11,O,15:30:00,6122,0,1,0
11,O,18:30:00,6122,0,1,0
11,O,16:00:00,6122,0,1,0
11,O,17:00:00,6122,0,1,0
11,O,11:30:00,6122,0,1,0
11,O,10:00:00,6122,0,1,0
11,O,10:30:00,6122,0,1,0
11,O,11:00:00,6122,0,1,0
11,O,09:30:00,6122,0,1,0
11,O,09:00:00,6122,0,1,0
11,O,08:00:00,6122,0,1,0
11,O,08:30:00,6122,0,1,0
11,O,12:00:00,6122,0,1,0
11,O,14:30:00,6122,0,1,0
11,O,13:30:00,6122,0,1,0
11,O,14:00:00,6122,0,1,0
11,O,12:30:00,6122,0,1,0
11,O,13:00:00,6122,0,1,0
11,O,22:30:00,6122,0,1,0
11,O,22:00:00,6122,0,1,0
11,O,21:30:00,6122,0,1,0
11,O,21:00:00,6122,0,1,0
11,O,23:00:00,6122,0,1,0
11,O,23:30:00,6122,0,1,0
11,I,06:30:00,449,0,1,0
11,I,07:00:00,449,0,1,0
11,I,07:30:00,449,0,1,0
11,I,19:30:00,449,0,1,0
11,I,19:00:00,449,0,1,0
11,I,20:30:00,449,0,1,0
11,I,20:00:00,449,0,1,0
11,I,16:30:00,449,0,1,0
11,I,16:00:00,449,0,1,0
11,I,15:00:00,449,0,1,0
11,I,18:00:00,449,0,1,0
11,I,17:00:00,449,0,1,0
11,I,17:30:00,449,0,1,0
11,I,15:30:00,449,0,1,0
11,I,18:30:00,449,0,1,0
11,I,10:30:00,449,0,1,0
11,I,10:00:00,449,0,1,0
11,I,11:00:00,449,0,1,0
11,I,11:30:00,449,0,1,0
11,I,08:30:00,449,0,1,0
11,I,08:00:00,449,0,1,0
11,I,09:00:00,449,0,1,0
11,I,09:30:00,449,0,1,0
11,I,13:30:00,449,0,1,0
11,I,13:00:00,449,0,1,0
11,I,12:00:00,449,0,1,0
11,I,12:30:00,449,0,1,0
11,I,14:00:00,449,0,1,0
11,I,14:30:00,449,0,1,0
11,I,21:30:00,449,0,1,0
11,I,21:00:00,449,0,1,0
11,I,23:00:00,449,0,1,0
11,I,22:30:00,449,0,1,0
11,I,22:00:00,449,0,1,0
11,I,23:30:00,449,0,1,0
111,O,12:30:00,7639,0,1,0
111,O,13:30:00,7639,0,1,0
111,O,10:30:00,7639,0,1,0
111,O,09:30:00,7639,0,1,0
111,O,11:30:00,7639,0,1,0
111,O,07:30:00,7639,0,1,0
111,O,06:30:00,7639,0,1,0
111,O,16:30:00,7639,0,1,0
111,O,18:30:00,7639,0,1,0
111,O,19:30:00,7639,0,1,0
111,O,20:30:00,7639,0,1,0
111,O,22:30:00,7639,0,1,0
111,O,21:30:00,7639,0,1,0
111,O,23:30:00,7639,0,1,0
111,O,08:30:00,7639,0,1,0
111,O,15:30:00,7639,0,1,0
111,O,14:30:00,7639,0,1,0
111,O,17:30:00,7639,0,1,0
111,I,11:30:00,3057,0,1,0
111,I,10:30:00,3057,0,1,0
111,I,14:30:00,3057,0,1,0
111,I,07:30:00,3057,0,1,0
111,I,19:30:00,3057,0,1,0
111,I,18:30:00,3057,0,1,0
111,I,16:30:00,3057,0,1,0
111,I,21:30:00,3057,0,1,0
111,I,20:30:00,3057,0,1,0
111,I,22:30:00,3057,0,1,0
111,I,13:30:00,3057,0,1,0
111,I,08:30:00,3057,0,1,0
111,I,12:30:00,3057,0,1,0
111,I,09:30:00,3057,0,1,0
111,I,15:30:00,3057,0,1,0
111,I,17:30:00,3057,0,1,0
111,I,23:30:00,3057,0,1,0
114,O,07:10:00,6200,0,1,0
114,O,07:50:00,6200,0,1,0
114,O,19:40:00,6200,0,1,0
114,O,20:20:00,6200,0,1,0
114,O,15:40:00,6200,0,1,0
114,O,18:30:00,6200,0,1,0
114,O,15:10:00,6200,0,1,0
114,O,16:35:00,6200,0,1,0
114,O,11:10:00,6200,0,1,0
114,O,08:30:00,6200,0,1,0
114,O,09:50:00,6200,0,1,0
114,O,09:15:00,6200,0,1,0
114,O,12:10:00,6200,0,1,0
114,O,13:30:00,6200,0,1,0
114,O,14:20:00,6200,0,1,0
114,O,21:35:00,6200,0,1,0
114,I,07:45:00,3085,0,1,0
114,I,07:10:00,3085,0,1,0
114,I,19:10:00,3085,0,1,0
114,I,20:10:00,3085,0,1,0
114,I,19:45:00,3085,0,1,0
114,I,15:00:00,3085,0,1,0
114,I,17:50:00,3085,0,1,0
114,I,16:00:00,3085,0,1,0
114,I,17:15:00,3085,0,1,0
114,I,10:30:00,3085,0,1,0
114,I,11:30:00,3085,0,1,0
114,I,09:10:00,3085,0,1,0
114,I,08:30:00,3085,0,1,0
114,I,12:50:00,3085,0,1,0
114,I,13:40:00,3085,0,1,0
114,I,14:30:00,3085,0,1,0
114,I,21:00:00,3085,0,1,0
120,O,07:00:00,6004,0,1,0
120,O,07:20:00,6004,0,1,0
120,O,07:40:00,6004,0,1,0
120,O,19:00:00,6004,0,1,0
120,O,20:20:00,6004,0,1,0
120,O,19:55:00,6004,0,1,0
120,O,19:30:00,6004,0,1,0
120,O,20:45:00,6004,0,1,0
120,O,15:00:00,6004,0,1,0
120,O,16:20:00,6004,0,1,0
120,O,17:40:00,6004,0,1,0
120,O,15:20:00,6004,0,1,0
120,O,15:40:00,6004,0,1,0
120,O,17:00:00,6004,0,1,0
120,O,18:20:00,6004,0,1,0
120,O,16:00:00,6004,0,1,0
120,O,17:20:00,6004,0,1,0
120,O,18:40:00,6004,0,1,0
120,O,16:40:00,6004,0,1,0
120,O,18:00:00,6004,0,1,0
120,O,11:00:00,6004,0,1,0
120,O,10:00:00,6004,0,1,0
120,O,11:20:00,6004,0,1,0
120,O,10:20:00,6004,0,1,0
120,O,11:40:00,6004,0,1,0
120,O,10:40:00,6004,0,1,0
120,O,08:20:00,6004,0,1,0
120,O,09:40:00,6004,0,1,0
120,O,08:40:00,6004,0,1,0
120,O,09:00:00,6004,0,1,0
