,stop_number,stop_address
3844,7588,"Pearse Street, Tara Street"
3845,7392,"Aston Quay, Aston Place"
3846,312,"Wellington Quay, Parliament Street"
3847,1444,"Merchant's Quay, Winetavern Street"
3848,1445,"Ushers Quay, Usher Street"
3849,7078,"Parkgate St, Heuston Station"
3850,1449,"Conyngham Road, Phoenix Pk Main Gate"
3851,1450,"Conyngham Road, Phoenix House"
3852,1451,"Conyngham Road, Bridgewater House"
3853,2191,"Chapelizod Rd, Islandbridge Gate"
3854,2192,"Chapelizod Rd, UCD Boat Club"
3855,2193,"Chapelizod Rd, Garda Boat Club"
3856,2194,"Chapelizod Rd, Sports Ground"
3857,2195,"Chapelizod Rd, Chapelizod Gate"
3858,2196,"Chapelizod Main St, Kings Hall"
3859,2197,"Lucan Road, Chapelizod Court"
3860,2198,"Lucan Road, Belgrove Park"
3861,2200,"Kylemore Rd, Chapelizod Bridge"
3862,2201,"Lucan Road, Palmerstown Drive"
3863,7239,"Lucan Road, The Oval"
3864,4401,"Lucan Road, Kennelsfort Rd"
3865,2213,"Lucan Road, Liffey Valley"
3866,2214,"Lucan Road, Clarion Hotel"
3867,2215,"Lucan Road, St. Loman's Hospital"
3868,2216,"Lucan Road, Ballyowen Lane"
3869,4599,"Lucan Road, Ballyowen Road"
3870,2217,"Lucan Road, Esker Lane"
3871,2218,"Lucan Road, Roselawn"
3872,2219,"Lucan Road, Lucan Heights"
3873,2220,"Lucan Hill, Lucan Road"
3874,2221,"The Old Hill, Lucan Road"
3875,2223,"Main St Lucan, Lucan Bridge"
3876,2224,"Main St Lucan, Adamstown Road"
3877,3886,"Leixlip Rd, Primrose Lane"
3878,3887,"Leixlip Rd, Ardeevin Avenue"
3879,3888,"Celbridge Rd, Flyover"
3880,3890,"Dodsboro Rd, Meadowview Grove"
3882,3891,"Dodsboro Rd, Woodview Heights"
3883,3949,"Leixlip Rd, Tandy's Lane"
3884,3950,"Leixlip Rd, The Ball Alley"
3885,2229,"Main St Lucan, St. Andrew's Lodge"
3886,2230,"Main St Lucan, Sarsfield Park"
3887,2231,"Lucan Hill, St. Andrew's School"
3888,2233,"Lucan Road, Chalet Gardens"
3889,2232,"Lucan Road, Ballydowd Grove"
3890,2234,"Lucan Road, Ballyowen Road"
3891,2235,"Lucan Road, Hermitage Golf Club"
3892,2236,"Lucan Road, Ballyowen Lane"
3893,2238,"Lucan Road, Liffey Valley Slip Road"
3894,5056,"Lucan Road, Hermitage Clinic"
3895,2239,"Lucan Road, Liffey Valley"
3896,2241,"Lucan Road, Kennelsfort Road"
3897,2242,"Lucan Road, The Oval"
3898,2243,"Lucan Road, Glenaulin"
3899,2244,"Lucan Road, Belgrove Park"
3900,2245,"Lucan Road, Laurence Brook"
3901,2246,"Chapelizod, Main Street"
3902,2247,"Chapelizod Rd, Chapelizod Gate"
3903,2248,"Chapelizod Rd, Sports Ground"
3904,2249,"Chapelizod Rd, Rowing Club"
3905,2250,"Chapelizod Rd, Salmon Pool"
3906,2251,"Chapelizod Rd, Islandbridge Gate"
3907,1472,"Conyngham Road, Bridgewater House"
3908,4408,"Conyngham Road, Phoenix House"
3909,1473,"Conyngham Road, Phoenix Park Main Gate"
3910,1474,"Parkgate St, Heuston Station"
3911,1476,"Wolfe Tone Quay, Ellis Street"
3912,7453,"Arran Quay, Ocean House"
3913,1478,"Inns Quay, Chancery Place"
3914,1479,"Ormond Quay, Capel Street"
3915,315,"Bachelors Walk, Liffey Street"
3916,406,"Nassau Street, South Frederick Street"
3917,4530,"Kildare Street, Leinster House"
3918,748,"Merrion Row, Huguenot Cemetery"
3919,7390,"Merrion Square, Merrion Street"
3925,346,"Pearse Street, Garda Station"
3926,317,"Westmoreland Street, Fleet Street"
3990,2810,"Merrion Square, Clare Street"
3991,7387,"Merrion Square, Merrion Street"
3992,4522,"College Green, Suffolk Street"
3993,1934,"Dame Street, South George's Street"
3994,2310,"Werburgh Street, Little Ship Street"
3995,2311,"Kevin Street, Garda Station"
3996,2312,"St. Luke's Avenue, The Coombe"
3997,2313,"St. Luke's Avenue, Ardee Court"
3998,2314,"Cork Street, Ardee St"
3999,2315,"Cork Street, Donore Avenue"
4000,2094,"Cork Street, Coombe Hospital"
4004,2095,"Crumlin Road, Shopping Centre"
4005,2096,"Crumlin Road, Clonard Road"
4006,2097,"Crumlin Road, Iveagh Gardens"
4007,2099,"Crumlin Road, Crumlin Hospital"
4010,2103,"Walkinstown Rd, Shopping Centre"
4011,2332,"Walkinstown Rd, Kilnamanagh Road"
4012,2333,"Walkinstown Rd, Walkinstown Roundabout"
4013,2334,"Greenhills Rd, Mulcahy Keane"
4014,4662,"Greenhills Rd, Calmount Park"
4015,2335,"Greenhills Rd, Calmount Avenue"
4016,2336,"Greenhills Rd, Tibradden Drive"
4017,2337,"Greenhills Rd, Ballymount Road"
4018,2339,"Greenhills Rd, Park View"
4019,2340,"Greenhills Rd, Tymonville"
4020,2601,"Greenhills Rd, Mayberry Road"
4021,4446,"Greenhills Rd, Airton Road"
4022,2603,"Greenhills Rd, Bankcroft"
4023,2557,"Tallaght Village, Old Bawn Road"
4024,4436,"Blessington Rd, Institute of Technology"
4025,5008,"Belgard Square, Belgard Road"
4026,4640,"Old Blessington Rd, Tallaght Hospital"
4027,4347,"Old Blessington Rd, The Square"
4028,2349,"Old Blessington Rd, Alderwood"
4029,2351,"Blessington Rd, Maplewood"
4030,2621,"Cookstown Rd, Blessington Road"
4031,2622,"Cookstown Rd, Fortunestown Way"
4032,2623,"Cheeverstown Rd, Cookstown Road"
4033,2624,"Cheeverstown Rd, Rossfield"
4034,4441,"Brookfield Rd, Brookview Gardens"
4035,2626,"Fortunestown Way, Roundabout"
4036,2669,"Fortunestown Way, Swiftbrook"
4037,4641,"Jobstown Rd, Russell View"
4038,4642,"Jobstown Rd, Cloonmore"
4039,2355,"Fortunestown Rd, Cloonmore Drive"
4044,1258,"Priorswood Rd, Priorswood Ind Est"
4045,1259,"Priorswood Rd, The Link Road"
4046,1260,"Priorswood Rd, Ferrycarrig Park"
4047,6130,"Priorswood Rd, Ferrycarrig Green"
4048,1262,"Priorswood Rd, Fairfield"
4049,4692,"Glin Road, Glin Sports Centre"
4050,1245,"Glin Road, Greencastle Ave"
4051,4693,"Barryscourt Rd, Memorial Park"
4052,1254,"Bunratty Road, Barrycourt Road"
4053,1255,"Bunratty Road, Adare Park"
4054,1256,"Bunratty Road, Civic Centre"
4055,4694,"Coolock Drive, Bunratty Road"
4056,1249,"Coolock Drive, Greencastle Rd"
4057,1247,"Greencastle Rd, Coolock Drive"
4058,1248,"Greencastle Rd, Coolock I.E."
4079,1500,"Amiens Street, Railway Station"
4080,302,"Eden Quay, Marlborough Street"
4170,2353,"Fortunestown Rd, Cloonmore Drive"
4171,4643,"Jobstown Rd, Suncroft Drive"
4172,4644,"Fortunestown Way, Russell Lane"
4173,4645,"Fortunestown Way, Swiftbrook Ave"
4174,4440,"Brookfield Rd, Brookview Grove"
4175,2628,"Brookfield Rd, Rossfield Avenue"
4176,2629,"Cheeverstown Rd, Drumcairn Avenue"
4177,6095,"Cheeverstown Rd, Drumcairn"
4178,7062,"Cheeverstown Rd, Cookstown Road"
4179,6075,"Cookstown Rd, Fortunestown Way"
4180,2631,"Cheeverstown Rd, Blessington Road"
4181,2359,"Blessington Rd, Maplewood Avenue"
4182,2360,"Old Blessington Rd, Alderwood"
4183,4348,"Old Blessington Rd, The Square"
4184,4646,"Old Blessington Rd, Tallaght Hospital"
4185,4647,"Old Blessington Rd, Belgard Square East"
4186,2346,"Belgard Road, Belgard Square North"
4187,4435,"Tallaght Road, Tallaght Village"
4188,2632,"Greenhills Rd, Bancroft"
4189,2633,"Greenhills Rd, Airton Road"
4190,2369,"Greenhills Rd, Mayberry Road"
4191,2370,"Greenhills Rd, Park View"
4192,2371,"Greenhills Rd, M50 Flyover"
4193,2372,"Greenhills Rd, Ballymount Road"
4194,2373,"Greenhills Rd, Greenpark"
4195,2377,"Greenhills Rd, Walkinstown Roundabout"
4196,2378,"Walkinstown Rd, Walkinstown Drive"
4197,2183,"Walkinstown Rd, Shopping Centre"
4198,2184,"Walkinstown Rd, Drimnagh Rd"
4200,7043,"Drimnagh Rd, St. Mary's Road"
4201,1424,"Drimnagh Rd, Crumlin Hospital"
4202,2186,"Crumlin Road, Raphoe Road"
4203,2187,"Crumlin Road, Iveagh Grounds"
4204,2188,"Crumlin Road, Crumlin College"
4205,2189,"Crumlin Road, Crumlin Shopping Centre"
4209,4434,"Cork Street, Coombe Hospital"
4210,2379,"Cork Street, Marion Villas"
4211,2380,"Cork Street, Ardee St"
4212,2382,"St. Luke's Avenue, Brabazon Row"
4213,5099,"St. Luke's Avenue, Newmarket Street"
4214,2383,"Patrick Street, St. Patrick's Cathedral"
4216,1358,"Dame Street, Central Bank"
4217,298,"Eden Quay, Liberty Hall"
4239,4695,"Greencastle Rd, Greencastle Parade"
4240,1243,"Greencastle Rd, Greencastle Ave"
4241,4696,"Coolock Drive, Adare Road"
4242,4697,"Coolock Drive, Bunratty Road"
4243,1250,"Bunratty Road, Civic Centre"
4244,4698,"Bunratty Road, Barryscourt Road"
4245,4383,"Barryscourt Rd, Colaiste Dhulaigh"
4246,4699,"Barryscourt Rd, Stardust Memorial Pk"
4247,4388,"Glin Road, Greencastle Rd"
4248,4700,"Glin Road, Sports Centre"
4249,1266,"Priorswood Rd, St. Francis Church"
4250,1267,"Priorswood Rd, Ferrycarrig Park"
4251,1268,"Priorswood Rd, Belcamp Avenue"
4252,1269,"Priorswood Rd, Marigold Road"
4253,1265,"Priorswood Rd, Marigold Ave"
4345,621,"Talbot Street, Gardiner Street"
4346,289,"Abbey St, Irish Life Centre"
4355,525,"Howth Road, Crescent Place"
4356,526,"Howth Road, Copeland Grove"
4357,527,"Howth Road, St. Lawrence Road"
4358,528,"Howth Road, Castle Grove"
4359,529,"Howth Road, Collins Avenue"
4360,530,"Howth Road, Castle Avenue"
4361,531,"Howth Road, Demesne"
4362,709,"Howth Road, Saint Brigid's church"
4363,532,"Howth Road, Brookwood Ave"
4364,533,"Howth Road, Ennafort Park"
4365,534,"Howth Road, Garda Retirement Home"
4366,535,"Raheny Village, Shopping Centre"
4367,536,"Raheny Village, Station Road"
4368,537,"Howth Road, Avondale Park"
4369,538,"Howth Road, St. Assams"
4370,539,"Howth Road, Foxfield"
4371,540,"Howth Road, James Larkin Rd"
4372,541,"Howth Road, James Larkin Rd"
4373,542,"Dublin Rd, Kilbarrack Road"
4374,543,"Dublin Rd, Kilbarrack Road"
4375,544,"Dublin Rd, Bayside"
4376,545,"Dublin Rd, Kilbarrack Cemetery"
4377,546,"Dublin Rd, Sutton Park"
4378,547,"Dublin Rd, Baldoyle Road"
4379,548,"Dublin Rd, St. Fintan's School"
4380,549,"Dublin Rd, Binn Eadair View"
4381,550,"Sutton Cross, Sutton Cross"
4382,551,"Howth Road, Church Road"
4383,552,"Howth Road, Offington Park"
4384,553,"Howth Road, Claremont Road"
4385,554,"Howth Road, Presbyterian Church"
4386,555,"Howth Road, Howth Castle"
4387,557,"Howth Road, DART Station"
4388,558,"Howth Road, Old Courthouse"
4389,559,"Howth Road, Abbey Street"
4390,560,"Howth, Grace O'Malley Road"
4391,562,"Thormanby Road, Bodeen House"
4392,563,"Thormanby Road, Dungriffan Road"
4393,564,"Thormanby Road, Casana View"
4394,565,"Thormanby Road, Nursing Home"
4395,566,"Thormanby Road, Kitestown Rd"
4490,567,"Thormanby Road, Howth Summit"
4491,568,"Thormanby Road, Kitestown Rd"
4492,569,"Thormanby Road, Nursing Home"
4493,570,"Thormanby Road, Thormanby Woods"
4494,571,"Thormanby Road, Mariners Cove"
4495,572,"Thormanby Road, Upper Cliff Road"
4496,573,"Thormanby Road, Asgard Road"
4497,574,"Thormanby Road, Asgard Park"
4498,575,"Howth, St. Lawrence Road"
4499,576,"Harbour Road, Abbey Street"
4500,577,"Harbour Road, Old Courthouse"
4501,579,"Howth Road, DART Station"
4502,580,"Howth Road, Transport Museum"
4503,581,"Howth Road, Howth Lodge Hotel"
4504,582,"Howth Road, Claremont Road"
4505,583,"Howth Road, Burrow School"
4506,584,"Howth Road, Methodist Church"
4507,585,"Sutton Cross, Dublin Road"
4508,586,"Dublin Rd, St. Fintan's School"
4509,587,"Dublin Rd, Baldoyle Road"
4510,588,"Dublin Rd, Sutton Park"
4511,589,"Dublin Rd, Kilbarrack Cemetery"
4512,590,"Dublin Rd, Bayside"
4513,591,"Dublin Rd, Kilbarrack Road"
4514,592,"Dublin Rd, James Larkin Rd"
4515,593,"Howth Road, Greendale Rd"
4516,594,"Howth Road, Greendale Rd"
4517,595,"Howth Road, Berehaven"
4518,596,"Howth Road, Maywood Road"
4519,597,"Howth Road, Maywood"
4520,598,"Howth Road, Avondale Park"
4521,599,"Howth Road, Raheny Library"
4522,600,"Howth Road, Station Road"
4523,601,"Howth Road, Cill Eanna"
4524,602,"Howth Road, Cill Eanna"
4525,603,"Howth Road, Ennafort Park"
4526,604,"Howth Road, All Saints Road"
4527,605,"Howth Road, The Meadows"
4528,606,"Howth Road, Furry Park Road"
4529,607,"Howth Road, Furry Park Road"
4530,608,"Howth Road, Dunluce Road"
4531,609,"Howth Road, Castle Grove"
4532,610,"Howth Road, Ashbrook"
4533,611,"Howth Road, Hollybrook Park"
4534,612,"Howth Road, Copeland Avenue"
4535,613,"Howth Road, Clontarf Road"
4543,620,"Talbot Street, Talbot Place"
4544,7569,"Talbot Street, Gardiner Street"
4578,910,"Baldoyle Road, Dublin Road"
4579,911,"Baldoyle Road, St. Domhnach's Well"
4580,912,"Warrenhouse, Moyclare"
4581,913,"Baldoyle, St. Mary's School"
4582,914,"Baldoyle, Strand Road"
4583,938,"Coast Road, Old Race Course"
4584,940,"Coast Road, Moyne Cottages"
4585,941,"Coast Road, Moyne Bridge"
4586,942,"Coast Road, St. Rita's House"
4587,943,"Strand Road, Portmarnock Bridge"
4588,3599,"Strand Road, Portmarnock Village"
4589,3600,"Strand Road, The Dunes"
4590,3601,"Strand Road, The Dunes"
4591,3602,"Strand Road, Burrow Court"
4592,3604,"Portmarnock, Wendell Avenue"
4593,3616,"Coast Road, Wendell Avenue"
4594,3618,"Coast Road, Monks Meadow"
4595,3619,"Coast Road, Robswall Crescent"
4596,3620,"Coast Road, Biscayne"
4597,3622,"Coast Rd Malahide, Sea Park"
4598,3623,"Coast Road, Mayfair"
4599,4387,"Malahide Village, Garda Station"
4600,3624,"Malahide Village, St. James's Terrace"
4601,3587,"Coast Road, Old Golf Links"
4602,3588,"Coast Road, Sea Park"
4603,3590,"Coast Road, Sea Park"
4604,3589,"Coast Road, Biscayne"
4605,3591,"Coast Road, Robswall Crescent"
4606,3592,"Coast Road, Monks Meadow"
4607,3593,"Coast Road, Wendell Avenue"
4608,3594,"Strand Road, Portmarnock Hotel"
4609,3595,"Strand Road, Blackberry Lane"
4610,3596,"Strand Road, The Dunes"
4611,3597,"Strand Road, The Dunes"
4612,3598,"Strand Road, Portmarnock Village"
4613,4465,"Strand Road, St. Anne's"
4614,944,"Coast Road, Roundabout"
4615,945,"Coast Road, St. Rita's House"
4616,947,"Coast Road, Moyne Road"
4617,948,"Coast Road, Moyne Bridge"
4618,949,"Coast Road, The Coast"
4619,928,"Baldoyle, Strand Road"
4620,929,"Warrenhouse Rd, Dublin Street"
4621,930,"Warrenhouse Rd, Burrowfield Road"
4622,931,"Baldoyle Road, St. Domnach's Well"
4659,292,"Abbey St, Irish Life Mall"
4660,1171,"Gardiner Street, Talbot Street"
4661,1172,"Gardiner Street, Railway Street"
4662,1173,"Gardiner Street, Parnell Street"
4664,1175,"Gardiner St, Dorset Street"
4686,3670,"Swords Road, Dublin Airport"
4687,3671,"Swords Road, Airport Roundabout"
4688,3672,"Swords Road, Stockhole Lane"
4689,3674,"Swords Road, Equestrian Centre"
4690,3675,"Dublin Rd Swords, N1 Business Pk"
4691,3676,"Dublin Rd Swords, Boroimhe"
4692,3677,"Dublin Rd Swords, Colaiste Choilm"
4693,3678,"Main Street Swords, Forest Road"
4694,3679,"Main Street Swords, Fingal County Council"
4695,3711,"North Street, Bridge Street"
4696,3712,"North Street, Swords Castle"
4697,3713,"Seatown West, Watery Lane"
4698,3714,"Seatown West, Ennis Lane"
4699,3715,"R132, Hearse Road"
4700,5175,"R132, Turvey Logistics Pk"
4701,3755,"R132, Turvey Avenue"
4702,3756,"Blake's Cross, Turvey Avenue"
4703,3757,"Lusk Road, Newhaggard Road"
4704,3758,"Lusk Road, Corduff Common"
4705,3759,"Lusk Road, Balleally Lane"
4706,3760,"Lusk Road, Balleally West"
4707,3761,"Lusk Road, Carrige House"
4708,3762,"Lusk Road, Bellearly Lane"
4709,3763,"Dublin Rd, Racecourse Common"
4710,3764,"Station Road, Dublin Road"
4711,3765,"Station Road, Orlynn Park"
4712,3766,"Station Road, Lusk House"
4713,3767,"Station Road, Rogerstown Lane"
4714,3768,"Station Road, Balleally Lane"
4715,3770,"Station Road, Rush Station"
4716,3769,"Station Road, Rush Station"
4717,3771,"Lusk Road, Laneway"
4718,3772,"Lusk Road, Spout Road"
4719,3773,"Lusk Road, Spout Road"
4720,3774,"Lusk Road, Carthy's Lane"
4721,7172,"Whitestown Rd, Old Road"
4722,3775,"Whitestown Rd, Old Road (Cemetery)"
4723,3777,"Whitestown Rd, The Millbank"
4724,3778,"Rush, Sandy Road"
4725,3781,"Skerries Rd Rush, Hands Lane"
4726,3782,"Skerries Rd Rush, Cooper's Lane"
4727,3783,"Cooper's Lane, Kilbush Lane"
4728,3784,"Skerries Road, Five Lanes"
4729,3785,"Skerries Road, Clifflands"
4730,3786,"Skerries Road, Lambay View"
4731,3787,"Skerries Road, Loughshinney Cross"
4732,3788,"Skerries Road, Baldongan Close"
4733,3789,"Skerries Road, Water Works"
4734,3790,"Skerries Road, Pierstown Lane"
4735,3791,"Skerries, Hacketstown Cottages"
4736,3792,"Skerries, Hacketstown Pk"
4737,3793,"Skerries, Downside Park"
4738,3794,"Holmpatrick, Shenick Road"
4739,3795,"Holmpatrick, Skerries Church"
4740,3797,"Strand Street, Manning's Opening"
4741,3798,"Strand Street, Little Strand Street"
4742,3799,"Thomas Hand St, Church Street"
4743,6076,"Dublin Rd, Sports Fields"
4744,6077,"Town Parks Rd, Selskar Rise"
4745,3569,"Town Parks Rd, Selskar Road"
4746,3571,"Town Parks Rd, Skerries Rock"
4747,3801,"North Cliff Heights, Mourne Drive"
4748,3802,"North Cliff Heights, Kelly's Bay Parade"
4749,3805,"Balbriggan Rd, Kelly's Bay Parade"
4750,7175,"Skerries Road, Ardgillan Demesne"
4751,3806,"Balbriggan Rd, Hampton Cove"
4752,3807,"Skerries Road, Derham Park"
4753,3808,"Skerries Road, Craoibhin Park"
4754,3809,"Old Market Green, Pump Lane"
4755,7174,"Dublin St, Church"
4905,5176,"Rush Road, Cemetery"
5121,6048,"Dublin St, St. Paul's Crescent"
5122,5064,"Dublin Rd, Old Market Green"
5123,7173,"Old Market Green, Pump Lane"
5124,3811,"Skerries Road, Hampton Street"
5125,3812,"Skerries Road, Fancourt Heights"
5126,3664,"Skerries Road, Hampton Cove"
5127,3813,"Skerries Road, Footbridge"
5128,3814,"Balbriggan Rd, Barnageeragh Road"
5129,3815,"North Cliff Heights, Barnageeragh Road"
5130,3816,"North Cliff Heights, Mourne Drive"
5131,3566,"Town Parks Rd, Selskar Court"
5132,3567,"Town Parks Rd, Selsker Road"
5133,7292,"Thomas Hand St, Sports Fields"
5134,3818,"Thomas Hand St, Church Street"
5135,3819,"Strand Street, McLoughlin's Lane"
5136,3820,"Strand Street, St. Patrick's Church"
5137,3822,"Holmpatrick, Brookville Lane"
5138,3823,"Holmpatrick, Rugby Club"
5139,3824,"Holmpatrick, Shenick Road"
5140,3565,"Skerries Road, Downside Park"
5141,3825,"Rush Road, Hacketstown Cottages"
5142,3826,"Rush Road, Ballyhavil"
5143,3827,"Rush Road, Drumlattory Lane"
5144,3828,"Skerries Road, Mine Road"
5145,3829,"Skerries Road, Loughshinny Cross"
5146,3831,"Skerries Road, Carn Hill House"
5147,3832,"Skerries Road, Ballustree"
5148,3833,"Skerries Road, St. Catherines"
5149,3834,"Skerries Road, Palmer Road"
5150,3835,"Skerries Road, Rush Cricket Club"
5151,3836,"Skerries Road, Golden Ridge"
5152,3837,"Rush, The Strand bar"
5153,3838,"Rush, Sandy Road"
5154,3840,"Rush, Garda Station"
5155,3842,"Whitestown Rd, Chapel Green"
5156,3843,"Whitestown Rd, Doctor's Lane"
5157,3844,"Whitestown Rd, Old Road"
5158,3845,"Whitestown Rd, Cemetery"
5159,3846,"Whitestown Rd, Spout Road"
5160,3848,"Lusk Road, Bishop Land"
5161,3849,"Lusk Road, Horstone Road"
5162,3850,"Station Lane, Rush Station"
5163,3851,"Station Road, Rogerstown Lane"
5164,3852,"Station Road, Rogerstown Lane"
5165,3853,"Station Road, Rathmore Road"
5166,3854,"Station Road, Orlynn Park"
5167,3855,"Station Road, Church Road"
5168,3856,"Dublin Rd, Chapel Farm"
5169,3857,"Dublin Rd, Rathmore Road"
5170,3859,"Lusk Road, Balleally West"
5171,3860,"Lusk Road, Hannah's Avenue"
5172,3861,"Lusk Road, Balleally Lane"
5173,3862,"Lusk Road, Newhaggard Bridge"
5174,3863,"R132, Blakes Cross"
5175,3748,"R132, Turvey Ind Est"
5176,6050,"R132, Hearse Road"
5177,3749,"R132, Balheary Bridge"
5178,3750,"R132, Balheary Park"
5179,3752,"North Street, Carnegie Court"
5180,3751,"North Street, Carnegie Court"
5181,3689,"Main Street Swords, Fingal County Council"
5182,3691,"Dublin Rd, Swords Main St"
5183,3692,"Dublin Rd, Carlton Court"
5184,3694,"Swords Road, Pinnock Hill"
5185,3695,"Swords Road, Airside"
5186,3696,"Swords Road, Airside"
5187,3697,"Swords Road, Equestrian Centre"
5188,3698,"Swords Road, Monument Works"
5189,3699,"Swords Road, Stockhole Lane"
5190,3885,"Swords Road, Radisson Hotel"
5605,783,"Baggot St, Pembroke Row"
5606,784,"Baggot St, Fitzwilliam Street"
5607,785,"Pembroke St, Baggot Street"
5610,7586,"Leinster Street South, Clare Street"
5611,7587,"Pearse Street, Shaw Street"
5613,329,"Aston Quay, Bedford Row"
5614,1443,"Essex Quay, Exchange Street"
5617,1647,"Blackhall Place, Law Society"
5618,1648,"Stoneybatter, Arbour Place"
5619,1649,"Manor Street, Aughrim Street"
5620,1911,"Prussia Street, Drumalee"
5621,802,"North Circular Road, Drumalee"
5622,1654,"Blackhorse Ave, Blackhorse Grove"
5623,1655,"Blackhorse Ave, McKee Barracks"
5624,1656,"Blackhorse Ave, McKee Barracks"
5625,1657,"Blackhorse Ave, McKee Barracks"
5626,4458,"Blackhorse Ave, Regal Park"
5627,1658,"Skreen Road, Ardpatrick Road"
5628,1659,"Skreen Road, Navan Road"
5629,1660,"Navan Road, Nephin Road"
5630,1661,"Navan Road, Our Lady's Church"
5631,1662,"Navan Road, Kinvara Ave"
5632,1664,"Navan Road, Ashtown Grove"
5633,1665,"Navan Road, Kempton"
5634,1666,"Navan Road, Ashtown Roundabout"
5635,1667,"Castleknock Rd, Ashtown Gate"
5636,1668,"Castleknock Rd, Fairhaven Estate"
5637,1669,"Castleknock Rd, Castleknock Gate"
5638,1670,"Castleknock Rd, Georgian Village"
5639,1671,"Castleknock Rd, Peck's Lane"
5640,1672,"Castleknock Rd, Castleknock Park"
5641,1673,"Castleknock Rd, Park Avenue"
5642,1674,"Castleknock Rd, Hawthorn Lawn"
5643,1675,"Castleknock Rd, M50 Flyover"
5644,7380,"Laurel Lodge Rd, Parklands"
5645,1676,"Laurel Lodge Rd, Castleknock Vale"
5646,1517,"Laurel Lodge Rd, Oaktree Drive"
5647,1678,"Carpenterstown Ave, Oaktree Lawn"
5648,1679,"Carpenterstown Ave, Oaktree Green"
5649,4520,"Carpenterstown Pk, Bramley Road"
5650,4825,"Carpenterstown Pk, Bramley"
5651,7233,"Carpenterstown Rd, Bramley Park"
5652,4573,"Diswellstown Rd, Burnell Park Avenue"
5653,4893,"Diswellstown Rd, Luttrellstown Green"
5654,4894,"Diswellstown Rd, Luttrellstown Court"
5655,4895,"Diswellstown Rd, Fernleigh Close"
5656,7217,"Diswellstown Rd, The Courtyard"
5657,7227,"Blanchardstown Rd, Clonsilla Road"
5658,6172,"Blanchardstown Rd South, Snugsborough Rd"
5659,4493,"Blanchardstown Rd, Fortlawn"
5660,4362,"Blanchardstown Rd, Millennium Park"
5661,2959,"Blanchardstown Centre, Bus Interchange"
5662,4747,"Blanchardstown, Blanchardstown Town Centre"
5663,1882,"Blanchardstown Rd, Blanchardstown Rd South"
5664,7379,"Blanchardstown Rd, Mountview Road"
5665,4903,"Blanchardstown Rd, Parkview"
5666,7219,"Blanchardstown Rd, Clonsilla Road"
5667,7218,"Diswellstown Rd, The Courtyard"
5668,7031,"Diswellstown Rd, Fernleigh"
5669,4897,"Diswellstown Rd, Luttrellstown Thicket"
5670,4898,"Diswellstown Rd, Castleknock College"
5671,4574,"Diswellstown Rd, Burnell Park Avenue"
5672,4575,"Carpenterstown Rd, Shopping Centre"
5673,1680,"Carpenterstown Pk, Sycamore Avenue"
5674,1681,"Carpenterstown Pk, Sycamore Drive"
5675,1682,"Carpenterstown Ave, Sycamore Avenue"
5676,1683,"Carpenterstown Ave, Maple Glen"
5677,1684,"Laurel Lodge Rd, Castleknock Grange"
5678,1685,"Laurel Lodge Rd, Castleknock Drive"
5679,1686,"Laurel Lodge Rd, Parklands"
5680,1687,"Castleknock Rd, Laurel Lodge Road"
5681,1688,"Castleknock Rd, Oak Lawns"
5682,1689,"Castleknock, Castleknock Lodge"
5683,1690,"Castleknock Rd, Peck's Lane"
5684,1691,"Castleknock Rd, Fionn Uisce"
5685,1692,"Castleknock Rd, Park View"
5686,1693,"Castleknock Rd, Castleknock Gate"
5687,1694,"Castleknock Rd, Fairhaven Estate"
5688,1695,"Castleknock Rd, Ashtown Gate"
5689,1696,"Navan Road, Ashtown Roundabout"
5690,1697,"Navan Road, Kempton"
5691,1698,"Navan Road, Ashtown Grove"
5692,1699,"Navan Road, Baggot Road"
5693,1700,"Navan Road, Kinvara Avenue"
5694,1701,"Navan Road, Our Lady's Church"
5695,1702,"Navan Road, Nephin Road"
5696,1703,"Navan Road, Nephin Road"
5697,1704,"Skreen Road, Navan Road"
5698,1705,"Skreen Road, Ardpatrick Road"
5699,1706,"Blackhorse Ave, Cemetery"
5700,1707,"Blackhorse Ave, Dunard Walk"
5701,1708,"Blackhorse Ave, McKee Park"
5702,1709,"Blackhorse Ave, Glenbeigh Avenue"
5703,1528,"Blackhorse Ave, Phoenix Manor"
5704,1710,"Aughrim Street, Drumalee"
5705,1711,"Aughrim Street, Church"
5706,1712,"Aughrim Street, Prussia Street"
5707,1713,"Manor Street, Stanhope Street Convent"
5708,1714,"Stoneybatter, Brunswick Street"
5709,1715,"Blackhall Place, Blackhall Street"
5716,843,"St. Stephen's Green, Leeson Street"
5719,7340,"Wilton Terrace, Baggot St."
5772,7333,"Burlington Road, Mespil Road"
5778,274,"O'Connell St, Henry Street"
5779,2,"Parnell Square, Parnell Street"
5780,192,"Mountjoy Street, Blessington Street"
5781,795,"Berkeley Road, Eccles Street"
5782,796,"Berkeley Road, North Circular Road"
5783,57,"Cabra Road, North Circular Road"
5784,58,"Cabra Road, Charleville Road"
5785,59,"Cabra Road, Annamoe Terrace"
5786,60,"Cabra Road, Quarry Road"
5787,1802,"Cabra Road, Carnlough Road"
5788,1795,"Cabra Road, Old Cabra Road"
5789,1806,"Navan Road, Hampton Green"
5796,1807,"Navan Road, Phoenix Pk Avenue"
5797,7167,"Navan Road, Parkway Station"
5798,1808,"Navan Road, Peck's Lane"
