stop_number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
227,1,16,104,,,,,,,,,,,,,,,,,,,,
228,104,16,1,,,,,,,,,,,,,,,,,,,,
229,1,16,104,,,,,,,,,,,,,,,,,,,,
230,104,16,1,,,,,,,,,,,,,,,,,,,,
231,1,41B,41C,41,41A,16,16C,33,104,,,,,,,,,,,,,,
232,104,16C,16,,,,,,,,,,,,,,,,,,,,
233,16,16C,104,,,,,,,,,,,,,,,,,,,,
234,14,16C,16,14C,,,,,,,,,,,,,,,,,,,
235,14C,16,16C,14,,,,,,,,,,,,,,,,,,,
236,14,16C,16,14C,,,,,,,,,,,,,,,,,,,
237,16,16C,,,,,,,,,,,,,,,,,,,,,
242,14,104,,,,,,,,,,,,,,,,,,,,,
243,104,14,,,,,,,,,,,,,,,,,,,,,
244,14,104,,,,,,,,,,,,,,,,,,,,,
245,104,14,,,,,,,,,,,,,,,,,,,,,
246,14,,,,,,,,,,,,,,,,,,,,,,
247,27B,,,,,,,,,,,,,,,,,,,,,,
248,14,14C,,,,,,,,,,,,,,,,,,,,,
249,14C,14,,,,,,,,,,,,,,,,,,,,,
250,14,104,14C,,,,,,,,,,,,,,,,,,,,
251,14C,104,14,,,,,,,,,,,,,,,,,,,,
252,14,14C,,,,,,,,,,,,,,,,,,,,,
253,104,27B,17A,,,,,,,,,,,,,,,,,,,,
254,27B,14,,,,,,,,,,,,,,,,,,,,,
255,14,104,14C,,,,,,,,,,,,,,,,,,,,
261,40,11,116,13,,,,,,,,,,,,,,,,,,,
262,16C,16,,,,,,,,,,,,,,,,,,,,,
263,122,120,9,,,,,,,,,,,,,,,,,,,,
264,140,46A,,,,,,,,,,,,,,,,,,,,,
265,38,38A,1,38D,38B,44,,,,,,,,,,,,,,,,,
270,40,13,16,16C,,,,,,,,,,,,,,,,,,,
271,122,11,747,44,1,,,,,,,,,,,,,,,,,,
272,123,,,,,,,,,,,,,,,,,,,,,,
273,7,4,7A,,,,,,,,,,,,,,,,,,,,
274,38D,38B,123,140,38,38A,,,,,,,,,,,,,,,,,
276,120,,,,,,,,,,,,,,,,,,,,,,
277,9,41A,41,41C,41B,33,,,,,,,,,,,,,,,,,
278,16C,16,11,46A,44,46E,1,,,,,,,,,,,,,,,,
279,120,40,122,,,,,,,,,,,,,,,,,,,,
281,116,13,4,7,7A,7B,7D,9,,,,,,,,,,,,,,,
284,120,,,,,,,,,,,,,,,,,,,,,,
286,747,,,,,,,,,,,,,,,,,,,,,,
288,41B,41C,41,41A,,,,,,,,,,,,,,,,,,,
289,29A,31B,31A,32,31,,,,,,,,,,,,,,,,,,
291,29A,,,,,,,,,,,,,,,,,,,,,,
292,33,,,,,,,,,,,,,,,,,,,,,,
293,130,,,,,,,,,,,,,,,,,,,,,,
297,14,41X,14C,151,,,,,,,,,,,,,,,,,,,
298,27,,,,,,,,,,,,,,,,,,,,,,
299,15,,,,,,,,,,,,,,,,,,,,,,
300,27B,27A,,,,,,,,,,,,,,,,,,,,,
301,14,14C,142,15,757,,,,,,,,,,,,,,,,,,
302,151,61,27X,27,33D,33X,,,,,,,,,,,,,,,,,
303,61,118,84X,,,,,,,,,,,,,,,,,,,,
307,150,,,,,,,,,,,,,,,,,,,,,,
308,150,,,,,,,,,,,,,,,,,,,,,,
309,150,,,,,,,,,,,,,,,,,,,,,,
312,66A,67X,67,66B,66X,66,25,25A,25X,26,25B,25D,,,,,,,,,,,
315,25D,25B,26,25X,25A,25,37,51X,66,66X,66B,67,67X,66A,83A,83,70,39X,39,39A,51D,,
317,66A,67,66B,66,26,,,,,,,,,,,,,,,,,,
318,25X,66X,67X,,,,,,,,,,,,,,,,,,,,
319,13,44,40,83,83A,1,140,9,,,,,,,,,,,,,,,
320,7D,7B,46E,16C,16,11,46A,,,,,,,,,,,,,,,,
322,13,4,,,,,,,,,,,,,,,,,,,,,
323,4,13,,,,,,,,,,,,,,,,,,,,,
324,13,27B,4,83,83A,,,,,,,,,,,,,,,,,,
325,145,,,,,,,,,,,,,,,,,,,,,,
326,79,79A,,,,,,,,,,,,,,,,,,,,,
327,4,13,,,,,,,,,,,,,,,,,,,,,
328,39X,39A,39,,,,,,,,,,,,,,,,,,,,
329,70,37,,,,,,,,,,,,,,,,,,,,,
332,13,27B,4,83A,83,,,,,,,,,,,,,,,,,,
333,33D,,,,,,,,,,,,,,,,,,,,,,
334,46A,7D,7B,140,145,,,,,,,,,,,,,,,,,,
335,123,40,39,39A,13,,,,,,,,,,,,,,,,,,
336,16,14,83,83A,14C,9,,,,,,,,,,,,,,,,,
340,1,15A,77A,44,47,61,56A,15D,15B,,,,,,,,,,,,,,
342,54A,49,,,,,,,,,,,,,,,,,,,,,
345,41X,7B,7D,67X,66X,25X,,,,,,,,,,,,,,,,,
346,26,66B,66,66A,67,,,,,,,,,,,,,,,,,,
350,56A,61,77A,77X,44,47,1,,,,,,,,,,,,,,,,
351,1,47,77A,56A,,,,,,,,,,,,,,,,,,,
352,56A,77A,47,1,,,,,,,,,,,,,,,,,,,
353,1,15A,47,77A,56A,15B,15D,,,,,,,,,,,,,,,,
354,15D,15B,56A,77A,47,15A,1,,,,,,,,,,,,,,,,
355,1,47,,,,,,,,,,,,,,,,,,,,,
356,47,1,,,,,,,,,,,,,,,,,,,,,
357,1,47,,,,,,,,,,,,,,,,,,,,,
371,47,1,,,,,,,,,,,,,,,,,,,,,
372,1,47,,,,,,,,,,,,,,,,,,,,,
373,47,1,,,,,,,,,,,,,,,,,,,,,
374,1,47,,,,,,,,,,,,,,,,,,,,,
375,47,1,18,,,,,,,,,,,,,,,,,,,,
376,1,47,,,,,,,,,,,,,,,,,,,,,
377,47,1,,,,,,,,,,,,,,,,,,,,,
378,1,47,,,,,,,,,,,,,,,,,,,,,
380,47,1,,,,,,,,,,,,,,,,,,,,,
381,1,47,,,,,,,,,,,,,,,,,,,,,
382,47,1,,,,,,,,,,,,,,,,,,,,,
383,1,47,,,,,,,,,,,,,,,,,,,,,
384,47,1,,,,,,,,,,,,,,,,,,,,,
385,1,47,18,,,,,,,,,,,,,,,,,,,,
387,47,1,,,,,,,,,,,,,,,,,,,,,
388,1,47,,,,,,,,,,,,,,,,,,,,,
389,47,1,,,,,,,,,,,,,,,,,,,,,
390,1,47,,,,,,,,,,,,,,,,,,,,,
391,47,1,,,,,,,,,,,,,,,,,,,,,
392,1,47,,,,,,,,,,,,,,,,,,,,,
393,47,1,,,,,,,,,,,,,,,,,,,,,
395,1,15A,47,77A,15B,15D,27,56A,,,,,,,,,,,,,,,
396,56A,27,15D,15B,77A,47,15A,1,,,,,,,,,,,,,,,
397,1,15A,47,77A,15B,15D,27,56A,,,,,,,,,,,,,,,
398,56A,27,15D,15B,77A,47,15A,1,,,,,,,,,,,,,,,
399,1,15A,47,77A,15B,15D,27,56A,,,,,,,,,,,,,,,
400,56A,66,66A,61,66B,67,25,25A,27,26,15D,15B,25D,25B,77A,7A,7,4,47,44,15A,1,120
404,39A,39,38D,70,38B,38A,38,11,37,,,,,,,,,,,,,,
405,7,4,7A,,,,,,,,,,,,,,,,,,,,
406,7B,7D,145,25A,25,46A,67,66B,66,66A,25B,25D,26,,,,,,,,,,
407,33D,33X,15B,15D,142,15A,151,41X,,,,,,,,,,,,,,,
408,7A,4,7,120,27X,,,,,,,,,,,,,,,,,,
409,27X,120,7,4,7A,,,,,,,,,,,,,,,,,,
410,7A,4,7,120,,,,,,,,,,,,,,,,,,,
411,120,7,4,7A,27X,,,,,,,,,,,,,,,,,,
412,7A,4,7,120,,,,,,,,,,,,,,,,,,,
413,120,7,4,7A,,,,,,,,,,,,,,,,,,,
414,7A,4,7,120,27X,18,,,,,,,,,,,,,,,,,
415,18,120,7,4,7A,,,,,,,,,,,,,,,,,,
416,7A,4,7,18,27X,,,,,,,,,,,,,,,,,,
417,27X,18,7,4,7A,7D,,,,,,,,,,,,,,,,,
418,7A,4,7,27X,,,,,,,,,,,,,,,,,,,
419,27X,7,4,7A,,,,,,,,,,,,,,,,,,,
420,7A,4,7,27X,,,,,,,,,,,,,,,,,,,
421,7,4,7A,,,,,,,,,,,,,,,,,,,,
422,7A,84A,4,7,,,,,,,,,,,,,,,,,,,
423,7,4,84A,7A,,,,,,,,,,,,,,,,,,,
424,7A,84A,4,7,,,,,,,,,,,,,,,,,,,
425,7,4,84A,7A,,,,,,,,,,,,,,,,,,,
426,7A,84A,4,7,,,,,,,,,,,,,,,,,,,
427,7,4,84A,7A,,,,,,,,,,,,,,,,,,,
428,7A,4,7,,,,,,,,,,,,,,,,,,,,
429,7,4,7A,84A,,,,,,,,,,,,,,,,,,,
430,17,,,,,,,,,,,,,,,,,,,,,,
431,17,,,,,,,,,,,,,,,,,,,,,,
432,17,,,,,,,,,,,,,,,,,,,,,,
433,17,,,,,,,,,,,,,,,,,,,,,,
434,17,,,,,,,,,,,,,,,,,,,,,,
435,46A,7D,7B,47,116,145,,,,,,,,,,,,,,,,,
437,47,,,,,,,,,,,,,,,,,,,,,,
441,11,,,,,,,,,,,,,,,,,,,,,,
442,11,,,,,,,,,,,,,,,,,,,,,,
443,11,,,,,,,,,,,,,,,,,,,,,,
444,11,47,75,116,,,,,,,,,,,,,,,,,,,
445,116,75,47,11,,,,,,,,,,,,,,,,,,,
447,11,47,75,116,,,,,,,,,,,,,,,,,,,
448,116,47,114,,,,,,,,,,,,,,,,,,,,
449,114,11,75,116,,,,,,,,,,,,,,,,,,,
450,116,75,11,114,,,,,,,,,,,,,,,,,,,
451,11,47,116,,,,,,,,,,,,,,,,,,,,
453,116,47,75,11,,,,,,,,,,,,,,,,,,,
454,11,,,,,,,,,,,,,,,,,,,,,,
459,47,,,,,,,,,,,,,,,,,,,,,,
460,47,,,,,,,,,,,,,,,,,,,,,,
461,47,46E,7B,7D,116,118,145,46A,,,,,,,,,,,,,,,
462,17,,,,,,,,,,,,,,,,,,,,,,
464,17,,,,,,,,,,,,,,,,,,,,,,
465,17,,,,,,,,,,,,,,,,,,,,,,
466,17,,,,,,,,,,,,,,,,,,,,,,
467,17,,,,,,,,,,,,,,,,,,,,,,
468,17,,,,,,,,,,,,,,,,,,,,,,
469,7D,84A,7A,7,4,,,,,,,,,,,,,,,,,,
